year,make,model,trim,body,transmission,vin,state,condition,odometer,color,mmr,sellingprice
2015,Kia,Rio,LX,sedan,automatic,knadm4a36f6444055,fl,1,3579,red,11150,7800
2015,Kia,Forte,LX,sedan,automatic,knafk4a67f5256174,tn,19,25013,silver,12300,9100
2015,Kia,Rio,LX,sedan,automatic,knadm4a34f6461145,nj,47,12739,black,11100,11500
2015,Kia,Optima,LX,sedan,automatic,5xxgm4a7xfg370014,fl,47,29185,red,14900,14900
2015,Kia,Forte,LX,sedan,automatic,knafx4a63f5327341,ga,48,9491,gray,12600,12900
2015,Kia,Soul,+,wagon,automatic,kndjp3a5xf7751148,md,47,14545,green,13750,13600
2015,Kia,Soul,Base,wagon,automatic,kndjn2a20f7752296,tn,49,4054,green,13900,14000
2015,Kia,Sorento,LX,suv,automatic,5xyktca62fg584926,ga,47,21981,gray,19500,19700
2015,Kia,Soul,+,wagon,automatic,kndjp3a58f7119068,md,44,15672,white,13750,13600
2015,Kia,Soul,Base,wagon,automatic,kndjn2a29f7144650,mi,46,5594,brown,13600,13500
2015,Kia,Sorento,LX,suv,automatic,5xykt4a61fg581571,ga,5,14610,white,18250,19900
2015,Kia,Sorento,LX,suv,automatic,5xykt3a68fg618903,tx,45,5410,burgundy,19250,18000
2015,Kia,Soul,Base,wagon,automatic,kndjn2a25f7130924,fl,29,3479,gray,13950,13400
2015,Kia,Sportage,LX,suv,automatic,kndpbcac0f7716111,mo,42,21695,gray,18450,18200
2015,Kia,Sportage,LX,suv,automatic,kndpbcac1f7704842,mo,46,19861,red,18500,18400
2015,Kia,Soul,+,wagon,automatic,kndjp3a51f7117064,md,45,14735,beige,13750,13600
2015,Kia,Soul,+,wagon,automatic,kndjp3a55f7134370,mo,42,20635,brown,13700,13600
2015,Kia,Sorento,LX,suv,automatic,5xykt3a68fg553258,fl,42,7102,gray,19050,20000
2015,Kia,Soul,Base,wagon,automatic,kndjn2a20f7783614,ga,5,2188,silver,13900,14100
2015,Kia,Sorento,LX,suv,automatic,5xykt3a6xfg592059,fl,3,6114,white,19150,18600
2015,Kia,Sorento,LX,suv,automatic,5xykt3a60fg567302,tn,25,24967,gray,17450,15600
2015,Kia,Soul,+,wagon,automatic,kndjp3a52f7119325,md,43,13818,yellow,13750,13600
2015,Mercedes-Benz,C-Class,C300 Sport 4MATIC,sedan,automatic,55swf4kb5fu031803,ca,42,5443,white,36800,39000
2015,Lexus,IS 250,Base,sedan,automatic,jthbf1d23f5070174,fl,5,382,white,33400,33200
2015,Lexus,GX 460,Base,suv,automatic,jtjbm7fx5f5099109,fl,43,7621,silver,51100,45400
2015,Kia,Sportage,LX,suv,automatic,kndpb3ac9f7710677,fl,5,3223,gray,17150,17300
2015,Mazda,CX-5,Touring,suv,automatic,jm3ke4cy0f0436303,nj,35,25161,blue,19500,20250
2015,Lexus,RX 350,F Sport,suv,automatic,2t2bk1ba0fc262366,fl,5,6715,white,44500,45600
2015,Lexus,RX 350,Base,suv,automatic,jtjzk1ba3f2423758,fl,46,11675,black,38400,36800
2015,Kia,Sportage,LX,suv,automatic,kndpb3acxf7683568,il,42,22865,black,17200,17200
2015,Mercedes-Benz,C-Class,C300 Sport 4MATIC,sedan,automatic,55swf4kb4fu039410,fl,5,3563,white,36400,38750
2015,Mercedes-Benz,GLA-Class,GLA250 4MATIC,suv,automatic,wdctg4gb5fj079315,wi,49,3161,—,35000,32000
2015,Mercedes-Benz,GLK-Class,GLK350 4MATIC,suv,automatic,wdcgg8jbxfg362615,md,2,12865,silver,37600,22000
2015,Lexus,RC 350,Base,coupe,automatic,jthhe5bc7f5002282,fl,5,3824,black,47400,45000
2015,Lexus,RX 350,Base,suv,automatic,2t2zk1ba8fc160506,fl,45,12260,silver,38300,37000
2015,Mazda,CX-5,Touring,suv,automatic,jm3ke4cy6f0432191,ca,44,33586,gray,19100,19100
2015,Lexus,ES 350,Base,sedan,automatic,jthbk1gg4f2154007,fl,49,5489,gold,34600,32600
2015,Lexus,ES 350,Base,sedan,automatic,jthbk1gg4f2158543,fl,5,4700,black,34600,33000
2015,Mercedes-Benz,S-Class,S550 4MATIC,coupe,automatic,wddxj8fb5fa001172,wi,46,3816,gray,124000,124500
2015,Mercedes-Benz,GLA-Class,GLA250 4MATIC,suv,automatic,wdctg4gb4fj094792,ca,49,3655,black,34300,32000
2015,Nissan,Altima,2.5 SV,sedan,automatic,1n4al3ap3fc220559,nv,49,4708,brown,17300,17300
2015,Mitsubishi,Lancer,ES,sedan,automatic,ja32u2fu4fu000490,tn,36,12439,black,11450,11100
2015,Mercedes-Benz,S-Class,S63 AMG 4MATIC,sedan,automatic,wddug7jb2fa105072,ca,46,8628,—,128000,108000
2015,Nissan,Altima,2.5 S,sedan,automatic,1n4al3ap9fn300758,mo,35,23218,black,14500,13300
2015,Nissan,Altima,2.5 S,sedan,automatic,1n4al3ap7fn338232,ca,48,12736,silver,15350,15750
2015,Mercedes-Benz,S-Class,S63 AMG 4MATIC,sedan,automatic,wddug7jb6fa088714,ca,44,5891,—,131000,107000
2015,Nissan,Altima,2.5 SV,sedan,automatic,1n4al3ap4fc127985,il,41,14214,white,16950,16200
2015,Nissan,Leaf,S,hatchback,automatic,1n4az0cp0fc316434,ca,45,40,blue,13650,13250
2015,Nissan,Altima,2.5 S,sedan,automatic,1n4al3ap3fc195582,il,28,5612,gray,15850,13200
2015,Nissan,Versa,1.6 SL,sedan,automatic,3n1cn7ap5fl855245,fl,48,4357,silver,10750,11200
2015,Nissan,Altima,2.5 S,sedan,automatic,1n4al3ap0fc278631,md,1,4607,silver,15850,11000
2015,Nissan,Altima,2.5 SV,sedan,automatic,1n4al3ap6fc180364,ga,42,9431,silver,17050,18000
2015,Nissan,Frontier,SV,crew cab,automatic,1n6ad0ev9fn736005,ga,48,14322,gray,23900,25100
2015,Nissan,Altima,2.5 S,sedan,automatic,1n4al3ap9fn325112,il,44,9714,—,15550,16000
2015,Mitsubishi,Lancer,ES,sedan,automatic,ja32u2fu1fu010667,tx,48,2685,blue,12050,12500
2015,Nissan,Altima,3.5 SL,sedan,automatic,1n4bl3ap7fc120940,ga,43,12941,red,21400,22100
2015,Mitsubishi,Mirage,ES,hatchback,automatic,ml32a4hjxfh039881,mo,5,1244,blue,9650,10400
2015,Mitsubishi,Mirage,ES,hatchback,automatic,ml32a4hj0fh032387,mo,49,486,white,9675,10300
2015,Mitsubishi,Lancer,ES,sedan,automatic,ja32u2fu4fu005074,md,29,15038,blue,11300,9800
2015,Mitsubishi,Lancer,ES,sedan,automatic,ja32u2fu1fu009888,fl,47,2188,black,12100,13400
2015,Mitsubishi,Mirage,ES,hatchback,automatic,ml32a4hj2fh013405,tx,44,7214,white,9450,10200
2015,Nissan,Versa Note,1.6 SV,hatchback,automatic,3n1ce2cp3fl352071,ca,46,15791,silver,10500,11200
2015,Mitsubishi,Outlander Sport,ES,suv,automatic,4a4ap3au2fe016823,tx,23,6143,black,14400,11500
2015,Nissan,Versa,1.6 SL,sedan,automatic,3n1cn7ap4fl852093,ca,41,6983,silver,12200,13250
2015,Mitsubishi,Outlander Sport,ES,suv,automatic,4a4ap3au8fe013330,tx,45,8472,blue,14050,14800
2015,Nissan,Altima,2.5,sedan,automatic,1n4al3apxfc167505,ga,28,11533,black,15450,14300
2015,Nissan,Altima,2.5,sedan,automatic,1n4al3ap1fn380654,fl,37,8676,red,15600,14600
2015,Mitsubishi,Mirage,DE,hatchback,automatic,ml32a3hj7fh010235,tx,44,5401,white,9100,9800
2015,Toyota,Corolla,S,sedan,automatic,2t1burhe5fc271460,fl,46,2498,blue,15700,16500
2015,Subaru,WRX,Premium,sedan,manual,jf1va1d63f9803256,ca,48,2193,white,28200,23500
2015,Toyota,Corolla,LE,sedan,automatic,2t1burhe5fc301394,il,47,22179,red,14200,14000
2015,Ram,Promaster Cargo Van,1500 Low Roof,promaster cargo van,automatic,3c6trvag0fe502249,nj,44,12810,white,22300,22200
2015,Toyota,RAV4,LE,suv,automatic,jtmzfrevxfd043180,fl,48,9524,red,20400,20000
2015,Subaru,Forester,2.5i Premium PZEV,suv,automatic,jf2sjadcxfh471763,tx,48,17468,—,22500,23600
2015,Toyota,RAV4,LE,SUV,automatic,jtmzfrev0fj028026,mo,5,6301,silver,20400,20300
2015,Subaru,Forester,2.5i Premium PZEV,suv,automatic,jf2sjadc8fh404546,nj,49,16700,beige,22600,25200
2015,Toyota,Corolla,LE,sedan,automatic,2t1burhe2fc266183,fl,49,1429,white,14850,15300
2015,Subaru,WRX,Base,sedan,manual,jf1va1a65f9819415,ma,5,844,blue,26800,25400
2015,Toyota,Corolla,S,sedan,automatic,2t1burhe3fc344390,fl,49,1463,red,15750,15500
2015,Subaru,WRX,Premium,sedan,manual,jf1va1d68f9803303,ca,45,10030,gray,27200,23900
2015,Subaru,WRX,Base,sedan,automatic,jf1va1a69f9810605,tx,45,12548,silver,24800,24800
2015,Toyota,Camry,LE,sedan,automatic,4t1bf1fk3fu932437,fl,25,3524,black,17850,16800
2015,Subaru,Forester,2.5i Premium PZEV,suv,automatic,jf2sjadcxfh434082,ca,47,8290,gray,23500,23000
2015,Subaru,Forester,2.5i Premium PZEV,suv,automatic,jf2sjadc3fh439155,ca,44,13902,red,22900,22700
2015,Toyota,Camry,SE,sedan,automatic,4t1bf1fk4fu013773,fl,4,3360,black,18600,20400
2015,Toyota,Camry,LE,sedan,automatic,4t4bf1fk1fr468960,oh,46,6,black,18050,18900
2015,Subaru,Forester,2.5i Premium PZEV,suv,automatic,jf2sjadc0fh422183,tx,43,9399,red,23400,23000
2015,Toyota,Prius,Two,hatchback,automatic,jtdkn3du2f0433157,il,44,6180,black,17650,16200
2015,Nissan,Versa,1.6 SL,sedan,automatic,3n1cn7ap0fl824713,tx,43,7076,black,11750,12200
2015,Subaru,Forester,2.5i Premium PZEV,suv,automatic,jf2sjadc6fh434094,ca,38,24797,black,21700,22200
2015,Toyota,Corolla,LE,sedan,automatic,2t1burhe0fc242707,fl,5,1564,white,14850,15500
